Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
STIRLING RESIDENCES,"1,375,000",635.08,"2,165",Jul-24,STIRLING ROAD,Resale,Strata,59,"23,305",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,01 to 05
CENTRAL GREEN CONDOMINIUM,"2,458,000","1,528.49","1,608",Jul-24,JALAN MEMBINA,Resale,Strata,142,"17,310",-,Condominium,1,99 yrs lease commencing from 1992,03,Rest of Central Region,01 to 05
ALEX RESIDENCES,"1,880,000",882.65,"2,130",Jul-24,ALEXANDRA VIEW,Resale,Strata,82,"22,927",-,Apartment,1,99 yrs lease commencing from 2013,03,Rest of Central Region,21 to 25
ARTRA,"1,810,000",785.77,"2,303",Jul-24,ALEXANDRA VIEW,Resale,Strata,73,"24,795",-,Apartment,1,99 yrs lease commencing from 2016,03,Rest of Central Region,11 to 15
THE CREST,"1,550,000",796.54,"1,946",Jul-24,PRINCE CHARLES CRESCENT,Resale,Strata,74,"20,946",-,Condominium,1,99 yrs lease commencing from 2012,03,Rest of Central Region,01 to 05
ALEX RESIDENCES,"2,105,000",925.7,"2,274",Jul-24,ALEXANDRA VIEW,Resale,Strata,86,"24,477",-,Apartment,1,99 yrs lease commencing from 2013,03,Rest of Central Region,26 to 30
THE CREST,"3,650,000","1,915.99","1,905",Jul-24,PRINCE CHARLES CRESCENT,Resale,Strata,178,"20,506",-,Condominium,1,99 yrs lease commencing from 2012,03,Rest of Central Region,11 to 15
QUEENS,"2,080,000","1,184.04","1,757",Jul-24,STIRLING ROAD,Resale,Strata,110,"18,909",-,Condominium,1,99 yrs lease commencing from 1998,03,Rest of Central Region,26 to 30
REGENCY SUITES,"2,050,000",979.52,"2,093",Jul-24,KIM TIAN ROAD,Resale,Strata,91,"22,527",-,Apartment,1,Freehold,03,Rest of Central Region,11 to 15
ARTRA,"2,985,000","1,227.1","2,433",Jul-24,ALEXANDRA VIEW,Resale,Strata,114,"26,184",-,Apartment,1,99 yrs lease commencing from 2016,03,Rest of Central Region,36 to 40
EMERALD PARK,"1,600,000",990.29,"1,616",Jul-24,INDUS ROAD,Resale,Strata,92,"17,391",-,Condominium,1,99 yrs lease commencing from 1991,03,Rest of Central Region,01 to 05
STIRLING RESIDENCES,"1,600,000",688.9,"2,323",Jul-24,STIRLING ROAD,Resale,Strata,64,"25,000",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,06 to 10
REGENCY SUITES,"2,000,000",979.52,"2,042",Jul-24,KIM TIAN ROAD,Resale,Strata,91,"21,978",-,Apartment,1,Freehold,03,Rest of Central Region,11 to 15
RIVER PLACE,"1,355,000",742.72,"1,824",Jul-24,HAVELOCK ROAD,Resale,Strata,69,"19,638",-,Condominium,1,99 yrs lease commencing from 1995,03,Rest of Central Region,06 to 10
ASCENTIA SKY,"1,915,000","1,011.82","1,893",Jul-24,ALEXANDRA VIEW,Resale,Strata,94,"20,372",-,Condominium,1,99 yrs lease commencing from 2008,03,Rest of Central Region,26 to 30
STIRLING RESIDENCES,"1,020,000",441.32,"2,311",Jul-24,STIRLING ROAD,Resale,Strata,41,"24,878",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,06 to 10
DOMAIN 21,"980,000",559.73,"1,751",Jul-24,DELTA ROAD,Resale,Strata,52,"18,846",-,Condominium,1,99 yrs lease commencing from 2004,03,Rest of Central Region,11 to 15
ARTRA,"1,880,000",828.83,"2,268",Jun-24,ALEXANDRA VIEW,Resale,Strata,77,"24,416",-,Apartment,1,99 yrs lease commencing from 2016,03,Rest of Central Region,11 to 15
PRINCIPAL GARDEN,"1,618,000",785.77,"2,059",Jun-24,PRINCE CHARLES CRESCENT,Resale,Strata,73,"22,164",-,Condominium,1,99 yrs lease commencing from 2014,03,Rest of Central Region,06 to 10
QUEENS PEAK,"1,865,000",839.59,"2,221",Jun-24,DUNDEE ROAD,Resale,Strata,78,"23,910",-,Condominium,1,99 yrs lease commencing from 2015,03,Rest of Central Region,41 to 45
ASCENTIA SKY,"3,220,000","1,851.41","1,739",Jun-24,ALEXANDRA VIEW,Resale,Strata,172,"18,721",-,Condominium,1,99 yrs lease commencing from 2008,03,Rest of Central Region,11 to 15
EMERALD PARK,"1,690,000","1,087.16","1,555",Jun-24,INDUS ROAD,Resale,Strata,101,"16,733",-,Condominium,1,99 yrs lease commencing from 1991,03,Rest of Central Region,06 to 10
STIRLING RESIDENCES,"1,388,000",624.31,"2,223",Jun-24,STIRLING ROAD,Resale,Strata,58,"23,931",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,11 to 15
STIRLING RESIDENCES,"1,740,000",678.13,"2,566",Jun-24,STIRLING ROAD,Resale,Strata,63,"27,619",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,26 to 30
STIRLING RESIDENCES,"3,180,000","1,345.5","2,363",Jun-24,STIRLING ROAD,Resale,Strata,125,"25,440",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,16 to 20
TANGLIN VIEW,"2,075,000","1,140.98","1,819",Jun-24,PRINCE CHARLES CRESCENT,Resale,Strata,106,"19,575",-,Condominium,1,99 yrs lease commencing from 1997,03,Rest of Central Region,06 to 10
STIRLING RESIDENCES,"2,400,000",979.52,"2,450",Jun-24,STIRLING ROAD,Resale,Strata,91,"26,374",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,31 to 35
MARGARET VILLE,"1,850,000",828.83,"2,232",Jun-24,MARGARET DRIVE,Resale,Strata,77,"24,026",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,31 to 35
STIRLING RESIDENCES,"1,490,000",656.6,"2,269",Jun-24,STIRLING ROAD,Resale,Strata,61,"24,426",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,21 to 25
ECHELON,"1,010,000",452.09,"2,234",Jun-24,ALEXANDRA VIEW,Resale,Strata,42,"24,048",-,Condominium,1,99 yrs lease commencing from 2012,03,Rest of Central Region,21 to 25
ALEX RESIDENCES,"1,450,000",678.13,"2,138",Jun-24,ALEXANDRA VIEW,Resale,Strata,63,"23,016",-,Apartment,1,99 yrs lease commencing from 2013,03,Rest of Central Region,11 to 15
HIGHLINE RESIDENCES,"2,200,000",914.94,"2,405",Jun-24,KIM TIAN ROAD,Resale,Strata,85,"25,882",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,26 to 30
QUEENS PEAK,"1,088,000",495.14,"2,197",Jun-24,DUNDEE ROAD,Resale,Strata,46,"23,652",-,Condominium,1,99 yrs lease commencing from 2015,03,Rest of Central Region,16 to 20
PRINCIPAL GARDEN,"975,000",505.91,"1,927",Jun-24,PRINCE CHARLES CRESCENT,Resale,Strata,47,"20,745",-,Condominium,1,99 yrs lease commencing from 2014,03,Rest of Central Region,16 to 20
STIRLING RESIDENCES,"1,050,000",441.32,"2,379",Jun-24,STIRLING ROAD,Resale,Strata,41,"25,610",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,21 to 25
THE CREST,"2,350,000","1,194.8","1,967",Jun-24,PRINCE CHARLES CRESCENT,Resale,Strata,111,"21,171",-,Condominium,1,99 yrs lease commencing from 2012,03,Rest of Central Region,01 to 05
QUEENS PEAK,"1,073,000",484.38,"2,215",Jun-24,DUNDEE ROAD,Resale,Strata,45,"23,844",-,Condominium,1,99 yrs lease commencing from 2015,03,Rest of Central Region,16 to 20
STIRLING RESIDENCES,"1,438,000",635.08,"2,264",Jun-24,STIRLING ROAD,Resale,Strata,59,"24,373",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,21 to 25
PRINCIPAL GARDEN,"3,750,000","1,571.54","2,386",Jun-24,PRINCE CHARLES CRESCENT,Resale,Strata,146,"25,685",-,Condominium,1,99 yrs lease commencing from 2014,03,Rest of Central Region,11 to 15
STIRLING RESIDENCES,"1,553,000",635.08,"2,445",Jun-24,STIRLING ROAD,Resale,Strata,59,"26,322",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,36 to 40
QUEENS PEAK,"993,888",441.32,"2,252",Jun-24,DUNDEE ROAD,Resale,Strata,41,"24,241",-,Condominium,1,99 yrs lease commencing from 2015,03,Rest of Central Region,21 to 25
COMMONWEALTH TOWERS,"965,000",441.32,"2,187",Jun-24,COMMONWEALTH AVENUE,Resale,Strata,41,"23,537",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,16 to 20
STIRLING RESIDENCES,"1,400,000",635.08,"2,204",Jun-24,STIRLING ROAD,Resale,Strata,59,"23,729",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,11 to 15
THE CREST,"2,520,000","1,248.62","2,018",Jun-24,PRINCE CHARLES CRESCENT,Resale,Strata,116,"21,724",-,Condominium,1,99 yrs lease commencing from 2012,03,Rest of Central Region,16 to 20
HIGHLINE RESIDENCES,"2,700,000","1,151.75","2,344",Jun-24,KIM TIAN ROAD,Resale,Strata,107,"25,234",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,11 to 15
THE METROPOLITAN CONDOMINIUM,"1,835,000","1,065.64","1,722",Jun-24,ALEXANDRA VIEW,Resale,Strata,99,"18,535",-,Condominium,1,99 yrs lease commencing from 2006,03,Rest of Central Region,21 to 25
PRINCIPAL GARDEN,"2,650,000","1,076.4","2,462",May-24,PRINCE CHARLES CRESCENT,Resale,Strata,100,"26,500",-,Condominium,1,99 yrs lease commencing from 2014,03,Rest of Central Region,21 to 25
RIVER PLACE,"3,550,000","2,066.69","1,718",May-24,HAVELOCK ROAD,Resale,Strata,192,"18,490",-,Condominium,1,99 yrs lease commencing from 1995,03,Rest of Central Region,06 to 10
QUEENS PEAK,"982,000",441.32,"2,225",May-24,DUNDEE ROAD,Resale,Strata,41,"23,951",-,Condominium,1,99 yrs lease commencing from 2015,03,Rest of Central Region,06 to 10
STIRLING RESIDENCES,"1,400,000",624.31,"2,242",May-24,STIRLING ROAD,Resale,Strata,58,"24,138",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,36 to 40
RIVER PLACE,"1,240,000",721.19,"1,719",May-24,HAVELOCK ROAD,Resale,Strata,67,"18,507",-,Condominium,1,99 yrs lease commencing from 1995,03,Rest of Central Region,06 to 10
QUEENS PEAK,"1,520,000",775.01,"1,961",May-24,DUNDEE ROAD,Resale,Strata,72,"21,111",-,Condominium,1,99 yrs lease commencing from 2015,03,Rest of Central Region,21 to 25
QUEENS,"2,000,000","1,184.04","1,689",May-24,STIRLING ROAD,Resale,Strata,110,"18,182",-,Condominium,1,99 yrs lease commencing from 1998,03,Rest of Central Region,11 to 15
TANGLIN VIEW,"3,450,000","2,120.51","1,627",May-24,PRINCE CHARLES CRESCENT,Resale,Strata,197,"17,513",-,Condominium,1,99 yrs lease commencing from 1997,03,Rest of Central Region,16 to 20
DOMAIN 21,"2,708,800","1,280.92","2,115",May-24,DELTA ROAD,Resale,Strata,119,"22,763",-,Condominium,1,99 yrs lease commencing from 2004,03,Rest of Central Region,16 to 20
ECHELON,"1,808,888",861.12,"2,101",May-24,ALEXANDRA VIEW,Resale,Strata,80,"22,611",-,Condominium,1,99 yrs lease commencing from 2012,03,Rest of Central Region,06 to 10
COMMONWEALTH TOWERS,"1,000,000",462.85,"2,161",May-24,COMMONWEALTH AVENUE,Resale,Strata,43,"23,256",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,21 to 25
THE METROPOLITAN CONDOMINIUM,"3,150,000","1,743.77","1,806",May-24,ALEXANDRA VIEW,Resale,Strata,162,"19,444",-,Condominium,1,99 yrs lease commencing from 2006,03,Rest of Central Region,36 to 40
PRINCIPAL GARDEN,"1,900,000",807.3,"2,354",May-24,PRINCE CHARLES CRESCENT,Resale,Strata,75,"25,333",-,Condominium,1,99 yrs lease commencing from 2014,03,Rest of Central Region,21 to 25
STIRLING RESIDENCES,"1,320,000",624.31,"2,114",May-24,STIRLING ROAD,Resale,Strata,58,"22,759",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,01 to 05
STIRLING RESIDENCES,"1,980,000",785.77,"2,520",May-24,STIRLING ROAD,Resale,Strata,73,"27,123",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,26 to 30
RIVER PLACE,"1,795,000","1,033.34","1,737",May-24,HAVELOCK ROAD,Resale,Strata,96,"18,698",-,Condominium,1,99 yrs lease commencing from 1995,03,Rest of Central Region,06 to 10
HIGHLINE RESIDENCES,"1,105,000",505.91,"2,184",May-24,KIM TIAN ROAD,Resale,Strata,47,"23,511",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,21 to 25
QUEENS,"2,028,888","1,184.04","1,714",May-24,STIRLING ROAD,Resale,Strata,110,"18,444",-,Condominium,1,99 yrs lease commencing from 1998,03,Rest of Central Region,26 to 30
PRINCIPAL GARDEN,"940,000",495.14,"1,898",May-24,PRINCE CHARLES CRESCENT,Resale,Strata,46,"20,435",-,Condominium,1,99 yrs lease commencing from 2014,03,Rest of Central Region,06 to 10
ARTRA,"2,560,000","1,119.46","2,287",May-24,ALEXANDRA VIEW,Resale,Strata,104,"24,615",-,Apartment,1,99 yrs lease commencing from 2016,03,Rest of Central Region,31 to 35
THE METROPOLITAN CONDOMINIUM,"3,080,000","1,743.77","1,766",May-24,ALEXANDRA VIEW,Resale,Strata,162,"19,012",-,Condominium,1,99 yrs lease commencing from 2006,03,Rest of Central Region,41 to 45
MARGARET VILLE,"1,120,000",527.44,"2,123",May-24,MARGARET DRIVE,Resale,Strata,49,"22,857",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,06 to 10
QUEENS PEAK,"1,950,000",861.12,"2,264",May-24,DUNDEE ROAD,Resale,Strata,80,"24,375",-,Condominium,1,99 yrs lease commencing from 2015,03,Rest of Central Region,41 to 45
RIVER PLACE,"2,650,000","1,431.61","1,851",May-24,HAVELOCK ROAD,Resale,Strata,133,"19,925",-,Condominium,1,99 yrs lease commencing from 1995,03,Rest of Central Region,06 to 10
THE REGENCY AT TIONG BAHRU,"2,280,000",958,"2,380",May-24,CHAY YAN STREET,Resale,Strata,89,"25,618",-,Condominium,1,Freehold,03,Rest of Central Region,11 to 15
COMMONWEALTH TOWERS,"1,590,000",699.66,"2,273",May-24,COMMONWEALTH AVENUE,Resale,Strata,65,"24,462",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,36 to 40
THE REGENCY AT TIONG BAHRU,"2,268,000",958,"2,367",May-24,CHAY YAN STREET,Resale,Strata,89,"25,483",-,Condominium,1,Freehold,03,Rest of Central Region,06 to 10
THE ANCHORAGE,"2,750,000","1,420.85","1,935",May-24,ALEXANDRA ROAD,Resale,Strata,132,"20,833",-,Condominium,1,Freehold,03,Rest of Central Region,06 to 10
PRINCIPAL GARDEN,"1,660,000",785.77,"2,113",May-24,PRINCE CHARLES CRESCENT,Resale,Strata,73,"22,740",-,Condominium,1,99 yrs lease commencing from 2014,03,Rest of Central Region,11 to 15
QUEENS PEAK,"1,600,000",775.01,"2,064",May-24,DUNDEE ROAD,Resale,Strata,72,"22,222",-,Condominium,1,99 yrs lease commencing from 2015,03,Rest of Central Region,11 to 15
ASCENTIA SKY,"2,700,000","1,474.67","1,831",May-24,ALEXANDRA VIEW,Resale,Strata,137,"19,708",-,Condominium,1,99 yrs lease commencing from 2008,03,Rest of Central Region,16 to 20
ALESSANDREA,"2,040,000","1,097.93","1,858",May-24,ALEXANDRA ROAD,Resale,Strata,102,"20,000",-,Apartment,1,Freehold,03,Rest of Central Region,11 to 15
ECHELON,"1,670,000",731.95,"2,282",May-24,ALEXANDRA VIEW,Resale,Strata,68,"24,559",-,Condominium,1,99 yrs lease commencing from 2012,03,Rest of Central Region,41 to 45
STIRLING RESIDENCES,"1,105,000",505.91,"2,184",May-24,STIRLING ROAD,Resale,Strata,47,"23,511",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,06 to 10
STIRLING RESIDENCES,"1,460,000",635.08,"2,299",May-24,STIRLING ROAD,Resale,Strata,59,"24,746",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,31 to 35
ALEX RESIDENCES,"1,420,000",678.13,"2,094",May-24,ALEXANDRA VIEW,Resale,Strata,63,"22,540",-,Apartment,1,99 yrs lease commencing from 2013,03,Rest of Central Region,16 to 20
HIGHLINE RESIDENCES,"3,000,000","1,291.68","2,323",May-24,KIM TIAN ROAD,Resale,Strata,120,"25,000",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,16 to 20
PRINCIPAL GARDEN,"1,700,000",785.77,"2,163",May-24,PRINCE CHARLES CRESCENT,Resale,Strata,73,"23,288",-,Condominium,1,99 yrs lease commencing from 2014,03,Rest of Central Region,16 to 20
STIRLING RESIDENCES,"1,450,000",635.08,"2,283",May-24,STIRLING ROAD,Resale,Strata,59,"24,576",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,36 to 40
QUEENS PEAK,"1,100,000",495.14,"2,222",May-24,DUNDEE ROAD,Resale,Strata,46,"23,913",-,Condominium,1,99 yrs lease commencing from 2015,03,Rest of Central Region,16 to 20
ALEX RESIDENCES,"2,105,000",904.18,"2,328",May-24,ALEXANDRA VIEW,Resale,Strata,84,"25,060",-,Apartment,1,99 yrs lease commencing from 2013,03,Rest of Central Region,36 to 40
COMMONWEALTH TOWERS,"2,350,000","1,033.34","2,274",May-24,COMMONWEALTH AVENUE,Resale,Strata,96,"24,479",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,21 to 25
ASCENTIA SKY,"1,800,000",947.23,"1,900",May-24,ALEXANDRA VIEW,Resale,Strata,88,"20,455",-,Condominium,1,99 yrs lease commencing from 2008,03,Rest of Central Region,11 to 15
QUEENS,"2,100,000","1,194.8","1,758",May-24,STIRLING ROAD,Resale,Strata,111,"18,919",-,Condominium,1,99 yrs lease commencing from 1998,03,Rest of Central Region,16 to 20
ASCENTIA SKY,"2,800,000","1,474.67","1,899",May-24,ALEXANDRA VIEW,Resale,Strata,137,"20,438",-,Condominium,1,99 yrs lease commencing from 2008,03,Rest of Central Region,41 to 45
THE ANCHORAGE,"2,900,000","1,550.02","1,871",May-24,ALEXANDRA ROAD,Resale,Strata,144,"20,139",-,Condominium,1,Freehold,03,Rest of Central Region,01 to 05
ALEXIS,"1,150,000",828.83,"1,388",May-24,ALEXANDRA ROAD,Resale,Strata,77,"14,935",-,Apartment,1,Freehold,03,Rest of Central Region,01 to 05
COMMONWEALTH TOWERS,"1,995,000",904.18,"2,206",May-24,COMMONWEALTH AVENUE,Resale,Strata,84,"23,750",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,16 to 20
PRINCIPAL GARDEN,"980,000",495.14,"1,979",May-24,PRINCE CHARLES CRESCENT,Resale,Strata,46,"21,304",-,Condominium,1,99 yrs lease commencing from 2014,03,Rest of Central Region,16 to 20
QUEENS,"2,480,000","1,410.08","1,759",Apr-24,STIRLING ROAD,Resale,Strata,131,"18,931",-,Condominium,1,99 yrs lease commencing from 1998,03,Rest of Central Region,31 to 35
ALEX RESIDENCES,"1,440,000",678.13,"2,123",Apr-24,ALEXANDRA VIEW,Resale,Strata,63,"22,857",-,Apartment,1,99 yrs lease commencing from 2013,03,Rest of Central Region,16 to 20
ECHELON,"1,710,000",731.95,"2,336",Apr-24,ALEXANDRA VIEW,Resale,Strata,68,"25,147",-,Condominium,1,99 yrs lease commencing from 2012,03,Rest of Central Region,16 to 20
QUEENS,"1,860,000","1,184.04","1,571",Apr-24,STIRLING ROAD,Resale,Strata,110,"16,909",-,Condominium,1,99 yrs lease commencing from 1998,03,Rest of Central Region,06 to 10
COMMONWEALTH TOWERS,"2,250,000","1,033.34","2,177",Apr-24,COMMONWEALTH AVENUE,Resale,Strata,96,"23,438",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,11 to 15
CENTRAL GREEN CONDOMINIUM,"2,320,000","1,345.5","1,724",Apr-24,JALAN MEMBINA,Resale,Strata,125,"18,560",-,Condominium,1,99 yrs lease commencing from 1992,03,Rest of Central Region,01 to 05
STIRLING RESIDENCES,"1,440,000",656.6,"2,193",Apr-24,STIRLING ROAD,Resale,Strata,61,"23,607",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,16 to 20
STIRLING RESIDENCES,"1,470,000",635.08,"2,315",Apr-24,STIRLING ROAD,Resale,Strata,59,"24,915",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,16 to 20
COMMONWEALTH TOWERS,"968,000",441.32,"2,193",Apr-24,COMMONWEALTH AVENUE,Resale,Strata,41,"23,610",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,26 to 30
HIGHLINE RESIDENCES,"1,750,000",667.37,"2,622",Apr-24,KIM TIAN ROAD,Resale,Strata,62,"28,226",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,26 to 30
ECHELON,"2,780,000","1,291.68","2,152",Apr-24,ALEXANDRA VIEW,Resale,Strata,120,"23,167",-,Condominium,1,99 yrs lease commencing from 2012,03,Rest of Central Region,06 to 10
MARGARET VILLE,"2,580,000","1,184.04","2,179",Apr-24,MARGARET DRIVE,Resale,Strata,110,"23,455",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,26 to 30
MARGARET VILLE,"2,000,000",914.94,"2,186",Apr-24,MARGARET DRIVE,Resale,Strata,85,"23,529",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,36 to 40
STIRLING RESIDENCES,"2,000,000",882.65,"2,266",Apr-24,STIRLING ROAD,Resale,Strata,82,"24,390",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,11 to 15
QUEENS PEAK,"1,890,000",807.3,"2,341",Apr-24,DUNDEE ROAD,Resale,Strata,75,"25,200",-,Condominium,1,99 yrs lease commencing from 2015,03,Rest of Central Region,41 to 45
ECHELON,"1,680,000",731.95,"2,295",Apr-24,ALEXANDRA VIEW,Resale,Strata,68,"24,706",-,Condominium,1,99 yrs lease commencing from 2012,03,Rest of Central Region,31 to 35
QUEENS PEAK,"975,000",441.32,"2,209",Apr-24,DUNDEE ROAD,Resale,Strata,41,"23,780",-,Condominium,1,99 yrs lease commencing from 2015,03,Rest of Central Region,16 to 20
PRINCIPAL GARDEN,"1,688,000",785.77,"2,148",Apr-24,PRINCE CHARLES CRESCENT,Resale,Strata,73,"23,123",-,Condominium,1,99 yrs lease commencing from 2014,03,Rest of Central Region,21 to 25
STIRLING RESIDENCES,"2,255,000",979.52,"2,302",Apr-24,STIRLING ROAD,Resale,Strata,91,"24,780",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,11 to 15
STIRLING RESIDENCES,"1,250,000",505.91,"2,471",Apr-24,STIRLING ROAD,Resale,Strata,47,"26,596",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,16 to 20
ARTRA,"2,428,888","1,044.11","2,326",Apr-24,ALEXANDRA VIEW,Resale,Strata,97,"25,040",-,Apartment,1,99 yrs lease commencing from 2016,03,Rest of Central Region,06 to 10
QUEENS,"2,000,000","1,194.8","1,674",Apr-24,STIRLING ROAD,Resale,Strata,111,"18,018",-,Condominium,1,99 yrs lease commencing from 1998,03,Rest of Central Region,21 to 25
STIRLING RESIDENCES,"1,650,000",688.9,"2,395",Apr-24,STIRLING ROAD,Resale,Strata,64,"25,781",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,21 to 25
COMMONWEALTH TOWERS,"2,900,000","1,302.44","2,227",Apr-24,COMMONWEALTH AVENUE,Resale,Strata,121,"23,967",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,36 to 40
STIRLING RESIDENCES,"1,218,000",505.91,"2,408",Apr-24,STIRLING ROAD,Resale,Strata,47,"25,915",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,26 to 30
ARTRA,"1,960,000",828.83,"2,365",Apr-24,ALEXANDRA VIEW,Resale,Strata,77,"25,455",-,Apartment,1,99 yrs lease commencing from 2016,03,Rest of Central Region,36 to 40
MERAPRIME,"2,330,000","1,119.46","2,081",Apr-24,JALAN BUKIT HO SWEE,Resale,Strata,104,"22,404",-,Condominium,1,99 yrs lease commencing from 2003,03,Rest of Central Region,21 to 25
PRINCIPAL GARDEN,"3,758,888","1,571.54","2,392",Apr-24,PRINCE CHARLES CRESCENT,Resale,Strata,146,"25,746",-,Condominium,1,99 yrs lease commencing from 2014,03,Rest of Central Region,16 to 20
PRINCIPAL GARDEN,"1,850,000",861.12,"2,148",Apr-24,PRINCE CHARLES CRESCENT,Resale,Strata,80,"23,125",-,Condominium,1,99 yrs lease commencing from 2014,03,Rest of Central Region,06 to 10
THE ANCHORAGE,"3,250,000","1,829.88","1,776",Apr-24,ALEXANDRA ROAD,Resale,Strata,170,"19,118",-,Condominium,1,Freehold,03,Rest of Central Region,01 to 05
EMERALD PARK,"1,963,000","1,431.61","1,371",Apr-24,INDUS ROAD,Resale,Strata,133,"14,759",-,Condominium,1,99 yrs lease commencing from 1991,03,Rest of Central Region,11 to 15
STIRLING RESIDENCES,"1,070,000",441.32,"2,425",Apr-24,STIRLING ROAD,Resale,Strata,41,"26,098",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,31 to 35
COMMONWEALTH TOWERS,"950,000",441.32,"2,153",Apr-24,COMMONWEALTH AVENUE,Resale,Strata,41,"23,171",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,06 to 10
QUEENS PEAK,"1,360,000",624.31,"2,178",Apr-24,DUNDEE ROAD,Resale,Strata,58,"23,448",-,Condominium,1,99 yrs lease commencing from 2015,03,Rest of Central Region,06 to 10
MARGARET VILLE,"1,920,000",914.94,"2,098",Apr-24,MARGARET DRIVE,Resale,Strata,85,"22,588",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,11 to 15
ASCENTIA SKY,"1,890,000","1,011.82","1,868",Apr-24,ALEXANDRA VIEW,Resale,Strata,94,"20,106",-,Condominium,1,99 yrs lease commencing from 2008,03,Rest of Central Region,26 to 30
PRINCIPAL GARDEN,"972,500",484.38,"2,008",Apr-24,PRINCE CHARLES CRESCENT,Resale,Strata,45,"21,611",-,Condominium,1,99 yrs lease commencing from 2014,03,Rest of Central Region,21 to 25
STIRLING RESIDENCES,"1,620,000",678.13,"2,389",Apr-24,STIRLING ROAD,Resale,Strata,63,"25,714",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,06 to 10
THE METROPOLITAN CONDOMINIUM,"1,425,000",839.59,"1,697",Apr-24,ALEXANDRA VIEW,Resale,Strata,78,"18,269",-,Condominium,1,99 yrs lease commencing from 2006,03,Rest of Central Region,11 to 15
STIRLING RESIDENCES,"1,485,000",656.6,"2,262",Apr-24,STIRLING ROAD,Resale,Strata,61,"24,344",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,21 to 25
QUEENS,"2,020,000","1,184.04","1,706",Apr-24,STIRLING ROAD,Resale,Strata,110,"18,364",-,Condominium,1,99 yrs lease commencing from 1998,03,Rest of Central Region,16 to 20
THE CREST,"1,290,000",613.55,"2,103",Apr-24,PRINCE CHARLES CRESCENT,Resale,Strata,57,"22,632",-,Condominium,1,99 yrs lease commencing from 2012,03,Rest of Central Region,16 to 20
